slug,title,keywords,accelerator,gpu,internet,sources
0-932-test-mod-version-4,0.932　test mod version 4,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
0-946-replay-with-robust-inputs,0.946 Replay With Robust Inputs,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
bc-yusuf-distill-fork,bc-yusuf-distill-fork,"Perch, ProtoSSM, SED, rank, blend, ensemble, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
bc26-gendaijin-junseong-eos6-may23,bc26 gendaijin junseong eos6 may23,"Perch, ProtoSSM, EfficientNet, SED, rank, blend, ensemble, ONNX, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,|tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|hideyukizushi/sgkfk-202604041716|ashok205/tf-wheels|hideyukizushi/bird26-reprod-perch-proto-residualssm-train-s7177|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026,birdclef | 2026,"Perch, ProtoSSM, SED, rank, blend, ensemble, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-0-941-onnx-perch-sequence-sed,BirdCLEF+ 2026 0.941 | ONNX Perch Sequence + SED,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-0-943-better-blend,BirdCLEF+ 2026 0.943+ | Better Blend,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-development,BirdCLEF+ 2026-development,"Perch, ProtoSSM, EfficientNet, SED, rank, blend, ensemble, ONNX, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,|tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|hideyukizushi/sgkfk-202604041716|ashok205/tf-wheels|hideyukizushi/bird26-reprod-perch-proto-residualssm-train-s7177|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-ensemble-of-solutions,BirdCLEF+ 2026 | Ensemble of solutions,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|hideyukizushi/sgkfk-202604041716|stpeteishii/gpu-birdclef-2026-mobilenetv3-train|ashok205/tf-wheels|hideyukizushi/bird26-reprod-perch-proto-residualssm-train-s7177|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-ensemble-of-solutions-2,BirdCLEF+ 2026 | Ensemble of solutions.2,"Perch, ProtoSSM, EfficientNet, SED, rank, blend, ensemble, ONNX, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,|tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|hideyukizushi/sgkfk-202604041716|ashok205/tf-wheels|hideyukizushi/bird26-reprod-perch-proto-residualssm-train-s7177|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-ensemble-of-solutions-46ce0c,BirdCLEF+ 2026 | Ensemble of solutions 46ce0c,"Perch, ProtoSSM, EfficientNet, SED, rank, blend, ensemble, ONNX, gate, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,|tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|nina2025/perch-v2-no-dft-v3-onnx|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|hideyukizushi/sgkfk-202604041716|ashok205/tf-wheels|hideyukizushi/bird26-reprod-perch-proto-residualssm-train-s7177|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-ensemble-of-solutions-9063a4,BirdCLEF+ 2026 | Ensemble of solutions 9063a4,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|hideyukizushi/sgkfk-202604041716|stpeteishii/gpu-birdclef-2026-mobilenetv3-train|ashok205/tf-wheels|hideyukizushi/bird26-reprod-perch-proto-residualssm-train-s7177|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
